Campaign Name,Purchases,Cost Per Purchase,Total Cost
"19-in-1 Multitool",1,928.89,928.89
"4 in 1 Fixit",3,837.25,2511.75
"Artificial Nails 576 Pcs",1,735.1,735.1
"Bath Body Sponge",3,941.95,2825.8500000000004
"Bed Sheets Storage Bags",18,401.23,7222.14
"Bicycle Rack Storage",22,520.68,11454.96
"Body Glow Stick",20,216.54,4330.8
"Cartoon Felt Handbag",1,642.07,642.07
"Cartoon Storage Basket",2,1020.44,2040.88
"Cleaning Brush",2,1217.26,2434.52
"Cotton Swabs",2,817.11,1634.22
"Curls Hair Rollers",10,516.41,5164.099999999999
"Curtain Clip",29,381.03,11049.869999999999
"Cute Cat Paw Earring",0,0,0
"Dual-Line Glittering Marker",3,876.02,2628.06
"Dualtone Blossom Mat",2,564.43,1128.86
"Dualtone Blossom Mat (copy)",1,1080.13,1080.13
"Easy-to-Clean Toilet Stool",7,185.11,1295.77
"Face Adhesive Tape",29,301.92,8755.68
"Flower Bookmarks",18,281.05,5058.900000000001
"Foot File",0,0,0
"Gardening Knee Seat",2,553.76,1107.52
"Grip Guard Pad",0,0,0
"Inverted Bottle Cap",2,1095.2,2190.4
"Kitchen oil-proof stickers",0,0,0
"Knee Patch Self-adhesive",26,272.01,7072.26
"Lady Tote Bag",0,0,0
"Lipstick",2,355.63,711.26
"Metal Card Holder Wallet",0,0,0
"Mini Toastie Pouch",0,0,0
"Penguin Airpod Keychain",1,923.65,923.65
"Phone Wallet",0,0,0
"Portable Pill Taker",21,405.63,8518.23
"Silicone Atta Maker Bag",2,588.12,1176.24
"Silicone Curlers",18,238.45,4292.099999999999
"Silicone Toilet Brush",5,662.68,3313.3999999999996
"Spiral LED 3 Colours Light",5,607.46,3037.3
"Stainless Steel Egg Mold",6,480.83,2884.98
"Steel Cooking Pot",0,0,0
"Steel Mini Bowl",0,0,0
"Steel Pill Box",7,514.64,3602.48
"Tawa & Burner Cleaner Spray",1,1061.11,1061.11
"Tiebacks Curtain Clip",12,521.53,6258.36
"Travel Backpack",10,597.64,5976.4
"Twist Mop",9,556.77,5010.93
"Veg Cutter & Grater",0,0,0
"Wallet Phone Case Strap",3,979.73,2939.19
"Whistle like a REAL bird",22,186.65,4106.3
"Wireless Alarm Door Stopper",12,506.68,6080.16
"Women's Razor Trimmer",1,1098.89,1098.89
"Zipper Lock Bags",1,955.25,955.25
